2013-06-22 00:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 00:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 00:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 00:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 00:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 00:43:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 00:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 00:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 01:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 01:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 01:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 01:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 01:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 01:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 01:23:57 Notice: Notice (8): Undefined index: HTTP_HOST in [/var/www/html/app/config/core.php, line 304]
2013-06-22 01:23:57 Notice: Notice (8): Undefined index: HTTP_HOST in [/var/www/html/app/config/core.php, line 306]
2013-06-22 01:23:57 Notice: Notice (8): Undefined index: HTTP_HOST in [/var/www/html/app/config/core.php, line 307]
2013-06-22 01:23:57 Notice: Notice (8): Undefined index: HTTP_HOST in [/var/www/html/app/config/core.php, line 311]
2013-06-22 01:23:57 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 01:23:57 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 01:23:57 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 01:43:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 01:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 01:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 02:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 02:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 02:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 02:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 02:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 02:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 02:32:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 02:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 02:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 02:43:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 02:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 02:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 03:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 03:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 03:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 03:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 03:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 03:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 03:32:50 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 03:32:50 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 03:32:50 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 03:43:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 03:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 03:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 04:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 04:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 04:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 04:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 04:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 04:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 04:32:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 04:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 04:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 04:43:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 04:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 04:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 05:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 05:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 05:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 05:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 05:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 05:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 05:32:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 05:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 05:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 05:43:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 05:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 05:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 06:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 06:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 06:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 06:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 06:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 06:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 06:32:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 06:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 06:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 06:43:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 06:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 06:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 07:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 07:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 07:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 07:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 07:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 07:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 07:43:08 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 07:43:08 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 07:43:08 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 08:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 08:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 08:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 08:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 08:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 08:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 08:32:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 08:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 08:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 08:43:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 08:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 08:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 09:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 09:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 09:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 09:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 09:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 09:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 09:32:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 09:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 09:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 09:43:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 09:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 09:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 10:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 10:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 10:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 10:13:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 10:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 10:13:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 10:32:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 10:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 10:32:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 10:43:07 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 10:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 10:43:07 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
2013-06-22 11:02:49 Notice: Notice (8): Undefined index: HTTP_RAW_POST_DATA in [/var/www/html/app/controllers/users_controller.php, line 62]
2013-06-22 11:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 64]
2013-06-22 11:02:49 Notice: Notice (8): Undefined index: Login in [/var/www/html/app/controllers/users_controller.php, line 65]
